id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
101257076,NCT01011816,SECONDARY,Roland-Morris Disability Questionnaire Score,"Percent of subjects achieving a minimum 30% decrease in Roland-Morris Disability Questionnaire score

The Roland-Morris Disability Questionnaire is a widely studied and frequently used instrument for the assessment of function and disability related to low back pain. The questionnaire consists of 24 statements related to how a subject's back condition affects various activities of daily living. Subjects marked whether the statement either applied to them or did not apply at the time they responded to the statements. The score is the total number of questions with which the subject agreed. A higher score indicates less function and greater disability.",26-weeks,All subjects assigned as success or failure. Missed 26-week visit counted as failure (7 BIOSTAT BIOLOGX; 2 Saline). Unblinded subjects counted as failures (2 BIOSTAT BIOLOGX).,,,percentage of subjects,,,NUMBER
100779335,NCT03006887,SECONDARY,PTF: Peak-trough Fluctuation Ratio of Lenvatinib in Combination With Pembrolizumab,"The peak trough fluctuation within complete dosing interval at steady state, calculated as PTF (%) = (\[Cmax - Cmin\]/Cav ) multiplied by 100",Cycle 1 Day 15: 0-24 hours,"The PK analysis set included all participants who received at least 1 dose of lenvatinib and pembrolizumab, and had evaluable concentration data. Here overall number analyzed ""N"" included the participants who were evaluable for the outcome measure.",,,Percentage fluctuation,,Standard Deviation,GEOMETRIC_MEAN
100779336,NCT03006887,SECONDARY,Number of Participants Positive for Serum Anti-drug Antibodies (ADA) Status for Pembrolizumab,,"Day 1 of Cycles 1, 2, 4, 6, and 8 and every 4 cycles thereafter; within 30 days after discontinuation or until the initiation of other anticancer treatment, whichever is earlier (Cycle length=21 days); up to 31 months","The PK analysis set included all participants who received at least 1 dose of lenvatinib and pembrolizumab, and had evaluable concentration data.",,,Participants,,,COUNT_OF_PARTICIPANTS
100779337,NCT02723175,PRIMARY,Baseline Quantitative Sensory Testing (QST),"Before treatment, Quantitative Sensory Testing (QST) will be completed for all participants. The QST involves a comprehensive laboratory pain assessment including heat stimuli using a Pathway Thermo-sensory Analyzer System which is specifically designed for assessing laboratory pain testing. The QST collects the temperature in celsius of when the participant first begins to feel the stimuli (Sensory), starts to feel pain (average pain threshold), and when the participant can no longer tolerate the stimuli (Tolerance). The temperature ranges from 37 degrees celsius to 50 degrees celsius. The minimum temperature on the scale is 37 degrees celsius and the maximum temperature on the scale is 50 degrees celsius. Average pain threshold: A lower temperature represents a lower pain threshold and a higher temperature represents a higher pain threshold. Tolerance: A lower temperature represents a lower pain tolerance and a higher temperature represents a higher pain tolerance.",Before Treatment,,,,Degrees Celsius,,Standard Deviation,MEAN
100779338,NCT02723175,SECONDARY,The Beck Depression Inventory (BDI) at Baseline,"The Beck Depression Inventory (BDI) will be used for screening purposes to characterize depression in each participant at baseline. The BDI is a 21 item participant rated inventory that evaluates depression symptoms, cognition, and physical symptoms of fatigue, weight loss, lack of interest in sex. The BDI scale also assesses suicidal ideation, those patients exhibiting suicidal ideations will be referenced to a therapist in order to further manage their depressive symptoms. The Total score range is 0 to 63; higher score indicates more depression. Individual items are scored on a 4 point scale (0 to 3), with 0=none/absent and 3=most severe.",Before Treatment,,,,units on a scale,,Standard Deviation,MEAN
101014856,NCT04441996,PRIMARY,Plasma Viscosity,Plasma viscosity is measured in centipoise (cP). The normal range is 1.4 - 1.8 cP and measurements above this range indicate increased viscosity.,"Day 1 (within 24 hours prior to TPE), Day 4 (within 24 hours of last TPE)",,,,cP,,Standard Deviation,MEAN
100779339,NCT02723175,SECONDARY,The Beck Anxiety Inventory (BAI) at Baseline,"The Beck Anxiety Inventory (BAI) is a well-researched, brief self-report anxiety-screening instrument that assesses different aspects of anxiety experience (e.g., physiological, cognitive, behavioral). It was designed to measure participant's level of anxiety. The scale is unidimensional and the total score rages from 0 to 63. Low scores are associated with low levels of anxiety, while high scores are associated with high levels of anxiety.",Before Treatment,,,,units on a scale,,Standard Deviation,MEAN
100779340,NCT02723175,SECONDARY,Brief Pain Inventory-Average Pain at Baseline,"To assess each participant's average pain at baseline, the Brief Pain Inventory (BPI)-short form will be administered. The BPI rapidly assesses the severity of pain and its impact on functioning and has been widely used in both research and clinical settings. Participants rate their average pain in the past 24 hours using a 0-10 numerical rating scale, where 0=no pain and 10=extreme pain.",Before Treatment,,,,units on a scale,,Standard Deviation,MEAN
100779341,NCT02723175,SECONDARY,Percent Change in Average Daily Pain at Treatment Visit 3,Participants were asked to rate their pain on average every day from the start of Treatment 1 until Treatment 3. Average pain ratings were on 0-10 scale. 0=No Pain at all and 10=Extreme Pain. Daily ratings were averaged at treatment 1 and treatment 3. The change in average daily pain ratings from treatment 1 to treatment 3 was calculated below. Time points at week 1 and week 3 were included to calculate percent change.,Treatment Session 3 (week 3),,,,percent change,,Standard Deviation,MEAN
100779342,NCT02723175,SECONDARY,Affective Subscale of McGill Pain Questionnaire at Baseline,"Participants completed the McGill Pain Questionnaire-short form (MPQ) at Baseline. The possible total range of scores (Sensory and Affective subscales together) is 0 to 45. The MPQ has two pain dimensions: 1.Sensory subscale awith 11 words, and 2.Affective subscale with 4 words from the original MPQ. The range of scores for the sensory dimension of pain is 0-33. The data below report the mean score for the affective subscale for both groups. The range of scores for the affective subscale being 0-12 with Higher scores indicating worse pain.",Before Treatment,,,,units on a scale,,Standard Deviation,MEAN
100779343,NCT02723175,SECONDARY,The Short-Form 12 Healthy Survey at Baseline,"To assess each participant's mental and physical functioning at Baseline, The Short-Form 12 Healthy Survey (SF-12) will be administered. The SF-12 is a multipurpose short form survey with 12 questions, all selected from the SF-36 Health Survey (Ware, Kosinski, and Keller, 1996). The questions were combined, scored, and weighted to create two scales that provide glimpses into mental and physical functioning and overall health-related-quality of life. Total score range for the summary scores = 0-100, where higher score represents higher level of functioning.",Before Treatment,,,,units on a scale,,Standard Deviation,MEAN
100779344,NCT02723175,SECONDARY,The Fibromyalgia (FM) Impact Questionnaire at Baseline,"To assess the impact of fibromyalgia on each participant's function at baseline, The Fibromyalgia (FM) Impact Questionnaire will be administered. The FM assesses the following symptoms; physical Impairment, well-being, pain, fatigue, rested, stiffness, anxiety, and depression within the past 24 hours. Each symptom scale ranges from 0 to 10. For example, 0=no pain and 10=extreme pain, 0=not fatigued and 10=extremely fatigued. The final score is the total score which ranges from 0 to 80. Higher scores indicate greater impact of fibromyalgia on functioning.",Before Treatment,,,,units on a scale,,Standard Deviation,MEAN
100779345,NCT02723175,SECONDARY,The Beck Depression Inventory (BDI) at 1 Month Follow up,"The Beck Depression Inventory (BDI) will be used for screening purposes to characterize depression in each participant at the one month follow up visit. The BDI is a 21 item participant rated inventory that evaluates depression symptoms, cognition, and physical symptoms of fatigue, weight loss, lack of interest in sex. The BDI scale also assesses suicidal ideation, those patients exhibiting suicidal ideations will be referenced to a therapist in order to further manage their depressive symptoms. The Total score range is 0 to 63; higher score indicates more depression. Individual items are scored on a 4 point scale (0 to 3), with 0=none/absent and 3=most severe.",1 month follow up,,,,units on a scale,,Standard Deviation,MEAN
100897580,NCT03970109,SECONDARY,"Craving - ""Having a Drink Would Making Things Just Perfect"" Visual Analog Scale (VAS) Item","This secondary efficacy endpoint is the change in the Visual Analog Scale (VAS) score for the question, ""Having a drink would make things just perfect,"" in response to an alcohol cue at Week 2 - after one week of investigational product treatment. The VAS has a minimum=0 and maximum=20 with higher values indicative of greater craving for alcohol (a worse outcome).",Week 2,"The analysis population is based on the modified intention-to-treat (mITT) analysis set, defined as subjects randomized to participate in the study that took at least one dose of IP and had a non-missing VAS craving primary endpoint.",,,score on a scale,,Standard Error,LEAST_SQUARES_MEAN
100779346,NCT02723175,SECONDARY,The Beck Anxiety Inventory (BAI) at 3 Month Follow Up,"The Beck Anxiety Inventory (BAI) is a well-researched, brief self-report anxiety-screening instrument that assesses different aspects of anxiety experience (e.g., physiological, cognitive, behavioral). It was designed to measure participant's level of anxiety. The scale is unidimensional and the total score rages from 0 to 63. Low scores are associated with low levels of anxiety, while high scores are associated with high levels of anxiety.",3 Month Follow Up,,,,units on a scale,,Standard Deviation,MEAN
100779347,NCT02723175,SECONDARY,Brief Pain Inventory-Average Pain at 1 Month Follow Up,"At the one month follow up visit, The Brief Pain Inventory (BPI)-short form will be administered to assess each participant's pain on average in the past 30 days. The BPI rapidly assesses the severity of pain and its impact on functioning and has been widely used in both research and clinical settings. Participants rate their pain on average in the past 30 days using a 0-10 numerical rating scale, where 0=no pain and 10=extreme pain.",1 Month Follow Up,,,,units on a scale,,Standard Deviation,MEAN
100897581,NCT03970109,SECONDARY,"Craving - ""If I Could Drink Alcohol Now, I Would Drink it"" Visual Analog Scale (VAS) Item","This secondary efficacy endpoint is the change in the Visual Analog Scale (VAS) score for the question, ""If I could drink alcohol now, I would drink it,"" in response to an alcohol cue at Week 2 - after one week of investigational product treatment. The VAS has a minimum=0 and maximum=20 with higher values indicative of greater craving for alcohol (a worse outcome).",Week 2,"The analysis population is based on the modified intention-to-treat (mITT) analysis set, defined as subjects randomized to participate in the study that took at least one dose of IP and had a non-missing VAS craving primary endpoint.",,,score on a scale,,Standard Error,LEAST_SQUARES_MEAN
100779348,NCT02723175,SECONDARY,Percent Change in Average Daily Pain at Treatment Visit Six,"Participants were asked to rate their pain on average every day from the start of Treatment 3 until Treatment 6. Average pain ratings were on 0-10 scale. 0=No Pain at all and 10=Extreme Pain. Daily ratings were averaged at treatment 3 and treatment 6. The change in average daily pain ratings from treatment 3 to treatment 6 was calculated below. Time points at week 3, and week 6 were included to calculate percent change.",Treatment Session 6 (week 6),,,,percent change,,Standard Deviation,MEAN
100779349,NCT02723175,SECONDARY,Percent Change in Average Daily Pain at 1 Month Follow Up,"Participants were asked to rate their pain on average every day 30 days post treatment 6 (1 month follow up). Average pain ratings were on 0-10 scale. 0=No Pain at all and 10=Extreme Pain. The 30 Daily ratings (Post Treatment 6) were averaged and The change in average daily pain ratings from treatment 6 to the 1 month follow up (30 days post completion of treatment visit 6) was calculated below. Time points week 6, and the 1 month follow up were included to calculate percent change.",1 Month Follow Up,,,,percent change,,Standard Deviation,MEAN
100779350,NCT02723175,SECONDARY,Percent Change in Average Daily Pain at 3 Month Follow Up,"Participants were asked to rate their pain on average every day for 60 days, post 1 month follow up visit. Average pain ratings were on 0-10 scale. 0=No Pain at all and 10=Extreme Pain. The 3 Month Follow Up included 60 Daily Pain ratings (Collected Post 1 Month Follow Up) that were averaged. The change in average daily pain ratings from the 1 month follow up (30 days post completion of treatment visit 6) to the 3 Month Follow Up (60 days post completion of the 1 month follow up visit) was calculated below. Time points 1 month follow up, and 3 month follow up were included to calculate percent change.",3 Month Follow Up,,,,percent change,,Standard Deviation,MEAN
100779351,NCT02723175,SECONDARY,Affective Subscale of McGill Pain Questionnaire at 1 Month Follow Up,"Participants completed the McGill Pain Questionnaire-short form (MPQ) at Baseline. The possible total range of scores is 0 to 45. The MPQ has two pain dimensions: 1.Sensory subscale with 11 words, and 2.Affective subscale with 4 words from the original MPQ. The range of scores for the sensory dimension of pain is 0-33. The data below report the mean score for the affective subscale of the McGill Pain Questionnaire for both groups. The range of scores for the affective subscale being 0-12 with Higher scores indicating worse pain.",1 Month Follow Up,"3 Sham tDCS Participants dropped out leaving 5 total participants in Sham group.

2 Anodal tDCS Participants dropped out leaving 5 total participants in Anodal group.",,,units on a scale,,Standard Deviation,MEAN
100779352,NCT02723175,SECONDARY,The Short-Form 12 Healthy Survey at 1 Month Follow Up,"To assess each participant's mental and physical functioning at the 1 Month Follow Up visit, The Short-Form 12 Healthy Survey (SF-12) will be administered. The SF-12 is a multipurpose short form survey with 12 questions, all selected from the SF-36 Health Survey (Ware, Kosinski, and Keller, 1996). The questions were combined, scored, and weighted to create two scales that provide glimpses into mental and physical functioning and overall health-related-quality of life. Total score range for the summary scores = 0-100, where higher score represents higher level of functioning.",1 Month Follow Up,,,,units on a scale,,Standard Deviation,MEAN
100779353,NCT02723175,SECONDARY,The Fibromyalgia (FM) Impact Questionnaire at 1 Month Follow Up,"To assess the impact of fibromyalgia on each participant's function at the 1 Month Follow Up visit, The Fibromyalgia (FM) Impact Questionnaire will be administered. The FM assesses the following symptoms; physical Impairment, well-being, pain, fatigue, rested, stiffness, anxiety, and depression within the past 24 hours. Each symptom scale ranges from 0 to 10. For example, 0=no pain and 10=extreme pain, 0=not fatigued and 10=extremely fatigued. The final score is the total score which ranges from 0 to 80. Higher scores indicate greater impact of fibromyalgia on functioning.",1 Month Follow Up,,,,units on a scale,,Standard Deviation,MEAN
100779354,NCT02723175,PRIMARY,Post Baseline Quantitative Sensory Testing (QST),"After treatment, Quantitative Sensory Testing (QST) will be completed for all participants. The QST involves a comprehensive laboratory pain assessment including heat stimuli using a Pathway Thermo-sensory Analyzer System which is specifically designed for assessing laboratory pain testing. The QST collects the temperature in celsius of when the participant first begins to feel the stimuli (Sensory), starts to feel pain (average pain threshold), and when the participant can no longer tolerate the stimuli (Tolerance). The temperature ranges from 37 degrees celsius to 50 degrees celsius. The minimum temperature on the scale is 37 degrees celsius and the maximum temperature on the scale is 50 degrees celsius. Average pain threshold: A lower temperature represents a lower pain threshold and a higher temperature represents a higher pain threshold. Tolerance: A lower temperature represents a lower pain tolerance and a higher temperature represents a higher pain tolerance.",One week Post Treatment,,,,Degrees Celsius,,Standard Deviation,MEAN
100779355,NCT00249613,PRIMARY,Results (Unadjusted) for Criminal Activities in Past 30 Days at Baseline and Follow-up for Women in Women-Only Treatment and Mixed-Gender Treatment,,baseline and 1-year follow-up,Intention to treat (ITT),,,Percentage reporting criminal activity,,,NUMBER
100779356,NCT00249613,PRIMARY,Predictors of Criminal Activity at 12 Months Post Intake,,12 Months,,,,Odds ratio,,95% Confidence Interval,NUMBER
100779357,NCT00249613,SECONDARY,Predictors of Change in Employment at 12 Months Post Intake: Generalized Estimating Equation (GEE) Model,Predictors of change in employment at 12 months post intake: GEE - comparison of Women-Only vs. Mixed-Gender treatment models,12 month post intake,,,,Beta coefficient,,95% Confidence Interval,NUMBER
100779358,NCT00249613,PRIMARY,Any Substance Use Past 30 Days,Substance use in past 30 days at 12 months post intake,12 Months,,,,Odds ratio,,95% Confidence Interval,NUMBER
100897582,NCT03970109,SECONDARY,"Craving - ""It Would be Hard to Turn Down a Drink Right Now"" Visual Analog Scale (VAS) Item","This secondary efficacy endpoint is the change in the Visual Analog Scale (VAS) score for the question, ""It would be hard to turn down a drink right now,"" in response to an alcohol cue at Week 2 - after one week of investigational product treatment. The VAS has a minimum=0 and maximum=20 with higher values indicative of greater craving for alcohol (a worse outcome).",Week 2,"The analysis population is based on the modified intention-to-treat (mITT) analysis set, defined as subjects randomized to participate in the study that took at least one dose of IP and had a non-missing VAS craving primary endpoint.",,,score on a scale,,Standard Error,LEAST_SQUARES_MEAN
101014857,NCT04441996,PRIMARY,Cumulative Incidence of Adverse Events,The primary safety endpoint is assessed as the cumulative incidence of adverse events directly associated with TPE during the study period as determined by clinical judgment of ICU team providing direct patient care and the study PI.,Up to Day 28,This analysis includes participants in the TPE study arm.,,,adverse events,,,NUMBER
100779359,NCT00343382,PRIMARY,Average Vaginal Dryness Scores Via Area Under the Curve (AUC) Summary Statistics,"Vaginal dryness was measured by the numerical analogue scale at baseline and through the six weeks of treatment. The item scores was transformed into 0 to 100 scales with 0=poor quality of life (QOL) and 100=best possible QOL. The average AUC values were calculated by dividing 6 from AUC values for participants who completed item on all 6 weeks. If a participant completed the item at baseline, week 1, 2 and 3 but did not complete the item at week 4 to week 6, the AUC values of the item was prorated, which is (((AUC values \* 6) / 3) / 6). The average pro-rated AUC for vaginal dryness scores was compared in each of the Pilocarpine arms against the collective placebo arm.",Baseline to Week 6,"Includes all participants that reported a baseline value and at least one value after baseline (i.e. week 3, 4, 5 or 6).",,,units on a scale,,Standard Deviation,MEAN
100779360,NCT00343382,SECONDARY,Toxicity as Measured by Common Terminology Criteria for Adverse Events (CTCAE) 3.0,"CTCAE Grading: Grade 1=Mild, Grade 2=Moderate, Grade 3=Severe, Grade 4=Life-threatening, Grade 5=Death.",End of 6 weeks,,,,participants,,,NUMBER
100779361,NCT00343382,SECONDARY,Average AUC Summary Statistics for the Impact of Vaginal Dryness for Activities of Daily Living,"The impact of vaginal dryness for activities of daily living (ADL) were measured by the numerical analogue scales at baseline and through the six weeks of treatment. The item scores was transformed into 0 to 100 scales with 0=poor quality of life (QOL) and 100=best possible QOL. The average AUC values were calculated by dividing 6 from AUC values for participants who completed item on all 6 weeks. If a participant completed the item at baseline, week 1, 2 and 3 but did not complete the item at week 4 to week 6, the AUC values of the item was prorated, which is (((AUC values \* 6) / 3) / 6). The average pro-rated AUC scores was compared in each of the Pilocarpine arms against the collective placebo arm.",Baseline to Week 6,"Includes all participants that reported a baseline value and at least one value after baseline (i.e. week 3, 4, 5 or 6).",,,units on a scale,,Standard Deviation,MEAN
100779362,NCT00343382,SECONDARY,Change From Baseline to Week 6 on the Impact of Vaginal Dryness for Activities of Daily Living Scores,The impact of vaginal dryness for activities of daily living (ADL) were measured by the numerical analogue scales at baseline and through the six weeks of treatment. The item scores was transformed into 0 to 100 scales with 0=poor quality of life (QOL) and 100=best possible QOL. The change from baseline scores was calculated by subtracting the baseline item scores from the scores at 6 week.,Baseline and Week 6,Includes all participants who completed both baseline and week 6 assessments.,,,units on a scale,,Standard Deviation,MEAN
100779363,NCT00884832,PRIMARY,Mean Fecal Incontinence and Constipation Assessment (FICA) Score,"The FICA severity scale has 4 items (frequency, type, amount of leakage, and presence of urgency) and is used to rate the severity of fecal incontinence. The parameter was computed from values in the weekly diaries. The FICA score can range from 1 to 13. Symptom severity scores of 1-6, 7-10, and 11-13 are categorized as mild, moderate, and severe, respectively. Scores were averaged over the 4 week baseline period and the 4 week treatment periods.","4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,units on a scale,,Standard Error,MEAN
100779364,NCT00884832,SECONDARY,Mean Number of Days With Fecal Incontinence,Values were averaged over 4 week baseline and 4 week treatment periods.,"4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,days,,Standard Error,MEAN
100779365,NCT00884832,SECONDARY,Mean Number of Fecal Incontinence Episodes,Values were averaged over 4 week baseline and 4 week treatment periods.,"4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,number of episodes,,Standard Error,MEAN
100779366,NCT00884832,SECONDARY,Mean Percentage of Bowel Movements Which Were Incontinent,Values were averaged over 4 week baseline and 4 week treatment periods.,"4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,percentage of bowel movements,,Standard Error,MEAN
100779367,NCT00884832,SECONDARY,Mean Severity of Fecal Incontinence,"The Fecal Incontinence Severity Index was used to compute the severity of fecal incontinence (FI). It is a validated 4-item scale used to assess the frequency of 4 different types of FI (gas, mucus, liquid stool, solid stool). The subject responses are weighted and summed for the 4 types of FI. Scores could range from 0 (no symptoms) to 61 (very frequent FI). Values were computed from pre- and post- treatment questionnaires.","4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,units on a scale,,Standard Error,MEAN
100779368,NCT00884832,SECONDARY,Impact of Fecal Incontinence on Baseline Quality of Life,"Scores were computed from a pre-treatment questionnaire, the Fecal Incontinence Quality of Life Scale. This scale is composed of a total of 29 items; these items form four scales: Lifestyle (10 items) Coping/Behavior (9 items), Depression/Self Perception (7 items), and Embarrassment (3 items).

Scales range from 1 to 4; with a 1 indicating a lower functional status of quality of life. Scales scores are the average (mean) response to all items in the scale (that is, add the responses to all questions in a scale together and then divide by the number of items in the scale, adjusting for missing values).",4 weeks baseline,Intent to treat analysis,,,units on a scale,,Standard Error,MEAN
100779369,NCT00884832,SECONDARY,Impact of Fecal Incontinence on Post-Treatment Quality of Life,"Scores were computed from a post-treatment questionnaire, the Fecal Incontinence Quality of Life Scale. This scale is composed of a total of 29 items; these items form four scales: Lifestyle (10 items) Coping/Behavior (9 items), Depression/Self Perception (7 items), and Embarrassment (3 items).

Scales range from 1 to 4; with a 1 indicating a lower functional status of quality of life. Scales scores are the average (mean) response to all items in the scale (that is, add the responses to all questions in a scale together and then divide by the number of items in the scale, adjusting for missing values).",after 4 weeks treatment,Intent to treat analysis,,,units on a scale,,Standard Error,MEAN
100779370,NCT00884832,SECONDARY,Satisfaction With Treatment,"This parameter was determined by a 100 mm visual analog scale, with possible scores ranging from 0 = ""Not satisfied at all (no relief of symptoms)"" to 100 = ""Completely satisfied (symptoms resolved)."" The parameter was computed from weekly diaries. Scores were averaged over the 4 week baseline period and the 4 week treatment periods.","4 weeks baseline, 4 week treatment",Intent to treat analysis,,,units on a scale,,Standard Error,MEAN
100779371,NCT00884832,SECONDARY,Percentage of Bowel Movements Preceded by Rectal Urgency,"Rectal urgency is defined as a sudden, irresistible need to have a bowel movement. Scores were averaged over the 4 week baseline period and the 4 week treatment periods.","4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,percentage of bowel movements,,Standard Error,MEAN
101014858,NCT04441996,SECONDARY,Cumulative All Cause Mortality,The number of participants dying from any cause is reported as a cumulative measures of mortality.,Up to Day 28,,,,Participants,,,COUNT_OF_PARTICIPANTS
100779372,NCT00884832,SECONDARY,Percentage of Bowel Movements With Semi-formed and Loose Stools in Subjects With and Without Diarrhea,The percentage of bowel movements with semi-formed and loose stools was defined as those with a score of 5-7 on the Bristol stool form scale.,"4 weeks baseline, 4 weeks treatment",Intent to treat analysis,,,percentage of bowel movements,,Standard Error,MEAN
100779373,NCT00884832,SECONDARY,Percentage of Bowel Movements With Semi-formed and Loose Stools Post-treatment Adjusted for Baseline,"The percentage of bowel movements with semi-formed and loose stools was defined as those with a score of 5-7 on the Bristol stool form scale. The ""adjustment for baseline"" was an analysis of covariance (ANCOVA) where the covariate was the baseline version of the endpoint.",4 weeks treatment,Intent to treat analysis,,,percentage of bowel movements,,Standard Error,MEAN
100779374,NCT00884832,SECONDARY,Percentage of Days With Fecal Incontinence (FI),,"4 weeks baseline, 4 weeks treatment",,,,percentage of days,,Standard Error,MEAN
100779375,NCT00884832,SECONDARY,Percentage of Days With FI Post-treatment Adjusted for Baseline,"The ""adjustment for baseline"" was an analysis of covariance (ANCOVA) where the covariate was the baseline version of the endpoint.",4 weeks treatment,,,,percentage of days,,Standard Error,MEAN
100779376,NCT03322423,PRIMARY,Distance Binocular Visual Acuity,Distance visual acuity was assessed for each subject in both eyes under a high luminance high contrast condition using ETDRS (Early Treatment Diabetic Retinopathy Study) charts.,1-Week Follow-up,All subjects that completed all study visits without a major protocol deviation.,,,logMAR,Eyes,Standard Deviation,MEAN
100779377,NCT03322423,PRIMARY,Near Binocular Visual Acuity,Near visual acuity was assessed for each subject in both eyes under a high luminance high contrast condition using reduced Guillon-Poling Charts.,1-Week Follow-up,All subjects that completed all study visits without a major protocol deviation.,,,logMAR,Eyes,Standard Deviation,MEAN
100897583,NCT00142909,PRIMARY,SOWS: the Subjective Opiate Withdrawal Scale,"The Subjective Opiate Withdrawal Scale (SOWS) consists of 16 symptoms rated in intensity by patients on a 5-point scale of intensity as follows: 0=not at all, 1=a little, 2=moderately, 3=quite a bit, 4=extremely. The total score is a sum of item ratings, and ranges from 0 to 64. The greater the score, the greater the intensity of Opiate Withdrawal. Source: Reprinted from Handelsman et al. 1987, p. 296, by courtesy of Marcel Dekker, Inc.Other Sources: Gossop 1990; Bradley et al. 1987. ACCESSED: http://www.ncbi.nlm.nih.gov/books/NBK64244/",1 Week,,,,units on a scale,,Standard Deviation,MEAN
100779378,NCT03322423,SECONDARY,Overall Quality of Vision,"Overall quality of vision was assessed using the Contact Lens User Experience™ (CLUE) questionnaire. CLUE is a validated patient-reported outcomes (PRO) questionnaire to assess patient experience attributes of soft contact lenses (comfort, vision, handling, and packaging) in a contact-lens wearing population in the US, ages 18-65. Derived CLUE scores using Item Response Theory (IRT) follow a normal distribution with a population average score of 60 (SD 20), where higher scores indicate a more favorable/positive response with a range of 0-120.",1-Week Follow-up,Subjects that completed all study visits without a major protocol deviation.,,,Units on a scale,,Standard Deviation,MEAN
100779379,NCT04891107,PRIMARY,Observed Adherence (Feasibility) to Walking Program Schedule Based on Percentage of Scheduled Sessions Completed,Percentage of scheduled sessions completed (5 times per week for 4 weeks),28 days,,,,percent of sessions completed,,Standard Deviation,MEAN
100779380,NCT04891107,PRIMARY,Safety (Feasibility) Based on the Number of Adverse Events During Training,Safety as assessed by number of adverse events during training with the music-based device,28 days,,,,adverse events,,,NUMBER
100779381,NCT04891107,PRIMARY,Usability (Feasibility) Based on Participant Ratings on Acceptability and Usability Questionnaire.,"Usability as assessed by participant ratings on Acceptability and Usability Questionnaire. The Questionnaire is comprised of adapted items from the System Usability Scale, Post Study System Usability Questionnaire, Technology Assessment Model Measurement Scales, and Usefulness, Satisfaction, and Ease questionnaire as described in Ben-Zeev D, et al., 2014. Participants were asked to rate their agreement with a series of statements about the intervention (26-items) using three Likert Scale responses (disagree, neutral, or agree) for each item. The number of responses in each category of disagree, neutral, or agree were summed and averaged across the total number of participants who responded to report an overall percentage within each category of disagree, neutral, or agree on the acceptability and usability of the device. A higher overall percentage of 'agree' responses indicate a higher degree of usability as rated by participants.",28 days,,,,percentage of responses in a category,,,NUMBER
100779382,NCT04891107,PRIMARY,Change in Mobility Impact Based on the Mobility Dimension of the Parkinson's Disease Questionnaire-39 (PDQ-39) Between Baseline to Last Visit,"Mobility impact as assessed by Parkinson's Disease Questionnaire-39 (PDQ-39) mobility dimension (questions #1-10 from the total PDQ-39 questionnaire). Each question is scored on a 0-4 ordinal scoring system then summed to generate the sub-scale score of the mobility dimension. Lower scores represent better quality of life.

Mobility Dimension Subscale Range: 0-100",28 days,Data for analysis was only obtained from 21 participants due to procedural error in instructions/administration of the test.,,,score on a scale,,Standard Deviation,MEAN
100779383,NCT04891107,SECONDARY,Change in Disease Severity Based on the Movement Disorders Society Unified Parkinson's Disease Rating Scale Part III (MDS-UPDRS III),Change in disease severity at baseline as compared to end of study participation (or earlier if study participant withdraws) as determined by the MDS-UPDRS III. Scores range between 0-132 with lower scores represent less disease severity.,28 days,,,,score on a scale,,Standard Deviation,MEAN
100779384,NCT04891107,SECONDARY,Change in Walking Endurance (m),Change in walking endurance (m) at baseline as compared to end of study participation (or earlier if study participant withdraws) as determined by the 6 Minute Walk Test (6MWT),28 days,,,,meters,,Standard Deviation,MEAN
100779385,NCT04891107,SECONDARY,Change in Fast Walking Gait Speed (m/s),Change in fast walking gait speed (m/s) at baseline as compared to end of study participation (or earlier if study participant withdraws) as determined by the 10 Meter Walk Test (10MWT),28 days,,,,meters per second,,Standard Deviation,MEAN
100779386,NCT04891107,SECONDARY,Overall Quality of Life Impact Based on the Total Parkinson's Disease Questionnaire -39 (PDQ-39),Overall quality of life impact at baseline as compared to end of study participation (or earlier if study participant withdraws) as assessed by Parkinson's Disease Questionnaire-39 (PDQ-39). The PDQ-39 contains 8 dimensions of function and well-being which are summed to generate the total PDQ-39 score (ranging from 0-100) where lower scores represent better quality of life.,28 days,Data from only 21 participants was available for analysis due to procedural error in instructions/administration of test.,,,score on a scale,,Standard Deviation,MEAN
100779387,NCT04891107,SECONDARY,Change in Mobility,Change in mobility as measured by the Five Times Sit to Stand Test,28 days,"Data for analysis was available for 20 participants due to due to participant inability to to perform test, therefore there was no compare functional mobility pre- and post-intervention.",,,seconds,,Standard Deviation,MEAN
101257077,NCT02211209,PRIMARY,Percent Change in Fasting Triglycerides (TG) From Baseline to Month 3,The Month 3 endpoint was defined as the average of Week 12 (Day 78) and Week 13 (Day 85) fasting assessments.,Baseline to 3 months,"The full analysis set included all participants who were randomized, received at least one dose of study drug, and had a baseline TG assessment.",,,percent change,,95% Confidence Interval,LEAST_SQUARES_MEAN
100897584,NCT00142909,SECONDARY,Systolic Blood Pressure,,1 Week,,,,mm Hg,,Standard Deviation,MEAN
